1192 1056 10
1080 944 129
1076 934 151
1076 933 150
1076 932 148
1076 931 147
1076 929 143
1077 928 142
1078 923 150
1078 922 148
1079 921 147
1079 920 145
1079 918 143
1080 917 141
1081 913 149
1081 912 148
1081 911 146
1081 910 145
1082 909 144
1083 905 149
1083 903 147
1084 902 146
1084 901 144
1084 900 143
1085 896 151
1085 893 148
1086 892 146
1086 891 145
1087 886 154
1087 885 152
1087 882 149
1088 881 148
1089 875 157
1089 873 155
1089 872 153
1090 871 152
1090 870 151
1091 862 160
1091 859 157
1092 858 156
1092 857 155
1093 852 162
1093 849 159
1093 848 157
1094 847 156
1095 842 164
1095 838 160
1096 837 159
1096 836 158
1096 834 160
1096 833 159
1097 825 167
1097 820 162
1099 811 168
1099 805 162
1101 795 169
1101 791 165
1102 790 164
1102 789 163
1102 788 161
1103 783 169
1103 782 168
1104 781 167
1104 780 166
1104 779 164
1104 777 162
1104 775 158
1103 765 170
1103 761 166
1103 760 164
1103 759 163
1104 753 169
1104 752 168
1105 751 167
1105 750 166
1105 749 164
1105 748 163
1106 747 161
1106 746 159
1106 745 158
1107 735 165
1108 734 163
1108 733 162
1108 732 160
1108 731 159
1109 730 157
1109 728 153
1109 713 162
1109 712 160
1109 711 159
1110 710 157
1110 709 156
1110 708 154
1111 707 152
1111 706 150
1112 705 148
1113 701 148
1114 700 145
1114 698 145
1115 697 143
1115 696 143
1115 695 141
1115 694 138
1115 684 145
1114 683 145
1114 682 143
1114 681 142
1109 664 160
1109 663 159
1109 661 155
1109 660 154
1109 657 148
1109 656 145
1109 655 143
1108 648 156
1109 645 159
1109 641 151
1110 640 149
1110 638 145
1110 637 142
1110 636 140
1110 635 139
1110 633 144
1110 632 143
1106 621 157
1106 619 155
1106 618 153
1105 617 151
1105 616 149
1105 615 146
1105 614 144
1105 613 141
1105 604 153
1106 603 151
1106 602 149
1106 601 146
1106 600 144
1107 599 141
1107 598 138
1107 597 136
1107 596 133
1108 595 132
1108 594 134
1108 593 133
1108 592 133
